Kontr.-Nr.;Vertragspartner;Abschlussdatum;Frucht;t;?/t           A;?/t           B;?/t                    C;Erl”s Soll;gelieferte Menge; Abholung ;Erl”s Ist;gezahlt;Kultur;Ernte 
Raps;;;;;;;;;;;?;?/t;;
4600115268;Beiselen;2019-07-10;Raps Ernte 2019;55;355,00 ?;;;19'525,00;54,38;10.7.-31.8.2019;20277,64;372,89;Winterraps;2019
4600149733;Roth;2019-07-23;Raps Ernte 2020;100;367,00 ?;;;36'700,00;98,08;;37404,67;381,37;Winterraps;2020
4600153839;Roth;2019-09-17;Raps Ernte 2020;400;385,00 ?;;;154'000,00;;;;#DIV/0!;Winterraps;2020
4600141566;Roth;2019-01-17;Weizen;500;190,00 ?;185,00 ?;;95'000,00;;1-3/2020 Anlieferung in Heidenau (oder ab Station A184? B 179?);;#DIV/0!;Winterweizen;2019
4600141567;Roth;2019-01-28;Weizen;500;185,50 ?;180,50 ?;175,50 ?;92'750,00;;5/2020  193? Matif  1-4.2020;;#DIV/0!;Winterweizen;2019
;FGL;2019-05-24;Weizen;500;170,00 ?;165,00 ?;;85'000,00;;April/Mai 2020;;#DIV/0!;Winterweizen;2019
4600145629;Roth;2019-05-28;Weizen;500;175,00 ?;170,00 ?;165,00 ?;87'500,00;;01.03.2020;;#DIV/0!;Winterweizen;2019
90951;FGL;2018-05-18;Raps Ernte 2018;200;351,00 ?;;;70'200,00;203,88;1.1.2019-31.1.2019  ab 1.2.2019 je 15 Tage +0,750?/t;74858,15;367,17;Winterraps;2018
093-2018;Cargill Salzgitter;2018-05-25;Raps Ernte 2018;220;372,00 ?;Transport -7,5?/t;;81'840,00;217,31;ab 15.Mai 2019 ohne Transport nach Riesa (BAG BIW 7,50?/t per mail);87292,22;401,69;Winterraps;2018
4600110344;Beiselen;2018-12-07;Raps Ernte 2018;300;370,50 ?;;;111'150,00;302,77;1.1.2019-31.1.2019;122742,06;405,4;Winterraps;2018
909362;FGL;2018-03-02;WW Ernte 2018;250;164,00 ?;160,00 ?;;41'000,00 ?;243,34;ab Station Weiterlagerung 1-3 2019 Report ab Februar 2019;38837,05;159,6;Winterweizen;2018
909767;FGL;2018-05-03;WW Ernte 2018;250;166,00 ?;161,00 ?;;41'500,00 ?;252,5;ab Station Weiterlagerung 1-3 2019 Report ab Februar 2019 A 166? B 161?;40034,05;158,55;Winterweizen;2018
128787;Roth;2018-05-31;WW Ernte 2018;500;164,00 ?;;;82'000,00 ?;500,07;ab Station  1.1.-31.3 2019 Futterweizen;82000;163,98;Winterweizen;2018
181091801;Rekasan;2018-09-18;WW Ernte 2018;300;200,00 ?;;;60'000,00 ?;300,98;ab Station  1.1.-31.3 2019 monatlich 100t;60196;200;Winterweizen;2018
4600110023;Beiselen;2018-11-16;WW Ernte 2018;600;195,00 ?;;;117'000,00 ?;595,4;ab Station  1.1.-31.3 2019 monatlich 200t;116103;195;Winterweizen;2018
181021901;Rekasan;2019-02-11;WW Ernte 2018;400;198,00 ?;;;79'200,00 ?;403,38;1.3.-30.6.2019 WW mit Gerste 1.3.-30.6.2019 max.12%Besatz (WG);79869,24;198;Winterweizen;2018
181061901;Rekasan;2019-06-07;WW Ernte 2018;300;180,00 ?;;;54'000,00 ?;313,54;bis 31.7.2019 mit Gerste max.12% Besatz;56437,2;180;Winterweizen;2018
;Dobra;2019-08-06;WW Ernte 2018;100;155,00 ?;;;15'500,00 ?;106,5;32. KW;16507,5;155;Winterweizen;2018
352138;Roth Agrarhandel;2016-10-13;Raps Ernte 2017;100;350,00 ?;;;35'000,00;100;ab Station bzw. Weiterlagerung (09-12 +5 ? je t);32'237,53;322,38;Winterraps;2017
;;;;;;;;;10,92;;3'615,50;331,09;Winterraps;2017
354443;Roth Agrarhandel;2016-12-02;Raps Ernte 2017;100;380,00 ?;;;38'000,00;117,23;ab Station bzw. Weiterlagerung (09-12) ex Ernte 375?/t;47784,77;407,62;Winterraps;2017
371629;Roth Agrarhandel;2017-11-03;Raps Ernte 2017;100;371,00 ?;;;37'100,00;116,54;ab Station bzw. Weiterlagerung (01-03 2018);46694,03;400,67;Winterraps;2017
EK 43529;AGH Weikmann;2017-11-09;Raps Ernte 2017;100;380,00 ?;;;38'000,00;101,78;ab Station bzw. Weiterlagerung (01-03 2018);41715,21;361;Winterraps;2017
909606;FGL;2018-04-11;Raps Ernte 2017;400;340,00 ?;;;136'000,00;400,71;Mitte Mai bis Ende Juni 2018;145176,59;;Winterraps;2017
24184;Torgauer Landhandel;2018-01-08;WG Ernte 2017;120;142,00 ?;;;17'040,00;120;;18614,7;142,25;Wintergerste;2017
910045;FGL;2018-05-25;WG Ernte 2019;150;160,00 ?;;;24'000,00;161,8;28.5.-15.6.2018;25888;160;Wintergerste;2017
366362;Roth Agrarhandel;2017-06-20;WW Ernte 2017;500;166,00 ?;;;83'000,00;500;ab Station Weiterlagerung 1-3 2018;81500;163;Winterweizen;2017
908255;FGL;2017-07-14;WW Ernte 2017;500;171,00 ?;;;85'500,00;544,96;ab Station Weiterlagerung 09-12  2017;88898,88;163,13;Winterweizen;2017
372271;Roth Agrarhandel;2017-11-27;WW Ernte 2017;800;162,00 ?;;;129'600,00;800;ab Station 04/05 2018;129600;162;Winterweizen;2017
4;Roth Agrarhandel;;;;;;;;15,82;;2452,1;155;Winterweizen;2017
;TW Dobra;2017-12-15;WW Ernte 2017;500;172,00 ?;;;86'000,00;505,02;ab Station 04/05 2018 Report ab Feb. 2018;89203,54;;Winterweizen;2017
44474;AGH Weikmann;2018-03-20;WW Ernte 2017;200;156,00 ?;;;31'200,00;194,12;ab Station Weiterlagerung Juli 2018 Silofahrzeug;30282,72;;Winterweizen;2017
909605;FGL;2018-04-11;WW Ernte 2017;500;157,00 ?;;;78'500,00;513,28;Mitte Mai bis Ende Juni 2018;80584,96;156;Winterweizen;2017
910229;FGL;2018-06-18;WW Ernte 2017;150;165,00 ?;;;24'750,00;162,24;Abholung 26.KW;26569,14;;Winterweizen;2017
45071;Weikmann;2018-05-24;WW Ernte 2017;200;162,50 ?;;;32'500,00;196,6;ab Station Weiterlagerung bis10.August 2018 Silofahrzeug;31947,5;;Winterweizen;2017
171081801;Rekasan;2018-08-22;WW Ernte 2017;75;200,00 ?;;;15'000,00;79,18;35.KW;15836;;Winterweizen;2017
